# i, x1, x2, ||grad||
1,-5.000000,-5.000000,35.355339
2,-4.995000,-4.965000,35.112107
3,-4.990005,-4.930245,34.870598
4,-4.985015,-4.895733,34.630801
5,-4.980030,-4.861463,34.392704
6,-4.975050,-4.827433,34.156294
7,-4.970075,-4.793641,33.921561
8,-4.965105,-4.760085,33.688492
9,-4.960140,-4.726765,33.457076
10,-4.955180,-4.693677,33.227302
11,-4.950224,-4.660822,32.999158
12,-4.945274,-4.628196,32.772632
13,-4.940329,-4.595799,32.547714
14,-4.935389,-4.563628,32.324393
15,-4.930453,-4.531683,32.102657
16,-4.925523,-4.499961,31.882495
17,-4.920597,-4.468461,31.663897
18,-4.915677,-4.437182,31.446851
19,-4.910761,-4.406122,31.231347
20,-4.905850,-4.375279,31.017374
21,-4.900944,-4.344652,30.804922
22,-4.896043,-4.314239,30.593980
23,-4.891147,-4.284040,30.384537
24,-4.886256,-4.254051,30.176583
25,-4.881370,-4.224273,29.970108
26,-4.876489,-4.194703,29.765102
27,-4.871612,-4.165340,29.561553
28,-4.866740,-4.136183,29.359454
29,-4.861874,-4.107229,29.158792
30,-4.857012,-4.078479,28.959559
31,-4.852155,-4.049929,28.761744
32,-4.847303,-4.021580,28.565337
33,-4.842455,-3.993429,28.370330
34,-4.837613,-3.965475,28.176711
35,-4.832775,-3.937717,27.984472
36,-4.827943,-3.910153,27.793603
37,-4.823115,-3.882781,27.604095
38,-4.818291,-3.855602,27.415937
39,-4.813473,-3.828613,27.229121
40,-4.808660,-3.801813,27.043638
41,-4.803851,-3.775200,26.859478
42,-4.799047,-3.748773,26.676631
43,-4.794248,-3.722532,26.495090
44,-4.789454,-3.696474,26.314845
45,-4.784664,-3.670599,26.135886
46,-4.779880,-3.644905,25.958206
47,-4.775100,-3.619390,25.781795
48,-4.770325,-3.594055,25.606644
49,-4.765554,-3.568896,25.432745
50,-4.760789,-3.543914,25.260090
51,-4.756028,-3.519107,25.088668
52,-4.751272,-3.494473,24.918473
53,-4.746521,-3.470012,24.749495
54,-4.741774,-3.445722,24.581726
55,-4.737033,-3.421601,24.415158
56,-4.732296,-3.397650,24.249783
57,-4.727563,-3.373867,24.085591
58,-4.722836,-3.350250,23.922576
59,-4.718113,-3.326798,23.760728
60,-4.713395,-3.303510,23.600041
61,-4.708681,-3.280386,23.440505
62,-4.703973,-3.257423,23.282113
63,-4.699269,-3.234621,23.124857
64,-4.694569,-3.211979,22.968730
65,-4.689875,-3.189495,22.813722
66,-4.685185,-3.167168,22.659828
67,-4.680500,-3.144998,22.507038
68,-4.675819,-3.122983,22.355346
69,-4.671143,-3.101122,22.204743
70,-4.666472,-3.079415,22.055223
71,-4.661806,-3.057859,21.906777
72,-4.657144,-3.036454,21.759399
73,-4.652487,-3.015198,21.613081
74,-4.647834,-2.994092,21.467816
75,-4.643187,-2.973133,21.323596
76,-4.638543,-2.952321,21.180415
77,-4.633905,-2.931655,21.038265
78,-4.629271,-2.911134,20.897138
79,-4.624642,-2.890756,20.757029
80,-4.620017,-2.870520,20.617930
81,-4.615397,-2.850427,20.479834
82,-4.610782,-2.830474,20.342734
83,-4.606171,-2.810660,20.206623
84,-4.601565,-2.790986,20.071494
85,-4.596963,-2.771449,19.937342
86,-4.592366,-2.752049,19.804158
87,-4.587774,-2.732784,19.671937
88,-4.583186,-2.713655,19.540671
89,-4.578603,-2.694659,19.410355
90,-4.574024,-2.675797,19.280981
91,-4.569450,-2.657066,19.152543
92,-4.564881,-2.638467,19.025035
93,-4.560316,-2.619997,18.898450
94,-4.555756,-2.601657,18.772782
95,-4.551200,-2.583446,18.648025
96,-4.546649,-2.565362,18.524173
97,-4.542102,-2.547404,18.401218
98,-4.537560,-2.529572,18.279156
99,-4.533022,-2.511865,18.157979
