k, xk[0], xk[1], ||grad||
0.000000,-5.000000,5.000000,36.400549
1.000000,-4.900000,4.650000,36.400549
2.000000,-4.802000,4.324500,33.993271
3.000000,-4.705960,4.021785,31.758472
4.000000,-4.611841,3.740260,29.684124
5.000000,-4.519604,3.478442,27.759035
6.000000,-4.429212,3.234951,25.972786
7.000000,-4.340628,3.008504,24.315677
8.000000,-4.253815,2.797909,22.778675
9.000000,-4.168739,2.602055,21.353366
10.000000,-4.085364,2.419912,20.031911
11.000000,-4.003657,2.250518,18.807004
12.000000,-3.923584,2.092981,17.671835
13.000000,-3.845112,1.946473,16.620049
14.000000,-3.768210,1.810220,15.645722
15.000000,-3.692846,1.683504,14.743320
16.000000,-3.618989,1.565659,13.907681
17.000000,-3.546609,1.456063,13.133980
18.000000,-3.475677,1.354138,12.417712
19.000000,-3.406163,1.259349,11.754666
20.000000,-3.338040,1.171194,11.140906
21.000000,-3.271279,1.089211,10.572755
22.000000,-3.205853,1.012966,10.046775
23.000000,-3.141736,0.942058,9.559754
24.000000,-3.078902,0.876114,9.108691
25.000000,-3.017324,0.814786,8.690787
26.000000,-2.956977,0.757751,8.303429
27.000000,-2.897838,0.704709,7.944181
28.000000,-2.839881,0.655379,7.610779
29.000000,-2.783083,0.609503,7.301113
30.000000,-2.727422,0.566837,7.013229
31.000000,-2.672873,0.527159,6.745312
32.000000,-2.619416,0.490258,6.495685
33.000000,-2.567027,0.455940,6.262797
34.000000,-2.515687,0.424024,6.045220
35.000000,-2.465373,0.394342,5.841638
36.000000,-2.416066,0.366738,5.650844
37.000000,-2.367744,0.341067,5.471731
38.000000,-2.320389,0.317192,5.303286
39.000000,-2.273982,0.294988,5.144585
40.000000,-2.228502,0.274339,4.994783
41.000000,-2.183932,0.255136,4.853115
42.000000,-2.140253,0.237276,4.718882
43.000000,-2.097448,0.220667,4.591452
44.000000,-2.055499,0.205220,4.470252
45.000000,-2.014389,0.190855,4.354763
46.000000,-1.974102,0.177495,4.244515
47.000000,-1.934620,0.165070,4.139085
48.000000,-1.895927,0.153515,4.038090
49.000000,-1.858009,0.142769,3.941185
50.000000,-1.820848,0.132775,3.848058
