k, xk[0], xk[1], ||grad||
0.000000,-5.000000,5.000000,36.400549
1.000000,-2.500000,-3.750000,36.400549
2.000000,-1.250000,2.812500,26.721948
3.000000,-0.625000,-2.109375,19.845595
4.000000,-0.312500,1.582031,14.818441
5.000000,-0.156250,-1.186523,11.091841
6.000000,-0.078125,0.889893,8.311541
7.000000,-0.039062,-0.667419,6.231207
8.000000,-0.019531,0.500565,4.672589
9.000000,-0.009766,-0.375423,3.504170
10.000000,-0.004883,0.281568,2.628037
11.000000,-0.002441,-0.211176,1.970997
12.000000,-0.001221,0.158382,1.478238
13.000000,-0.000610,-0.118786,1.108675
14.000000,-0.000305,0.089090,0.831505
15.000000,-0.000153,-0.066817,0.623628
16.000000,-0.000076,0.050113,0.467721
17.000000,-0.000038,-0.037585,0.350791
18.000000,-0.000019,0.028189,0.263093
19.000000,-0.000010,-0.021141,0.197320
20.000000,-0.000005,0.015856,0.147990
21.000000,-0.000002,-0.011892,0.110992
22.000000,-0.000001,0.008919,0.083244
23.000000,-0.000001,-0.006689,0.062433
24.000000,-0.000000,0.005017,0.046825
25.000000,-0.000000,-0.003763,0.035119
26.000000,-0.000000,0.002822,0.026339
27.000000,-0.000000,-0.002117,0.019754
28.000000,-0.000000,0.001587,0.014816
29.000000,-0.000000,-0.001191,0.011112
30.000000,-0.000000,0.000893,0.008334
31.000000,-0.000000,-0.000670,0.006250
32.000000,-0.000000,0.000502,0.004688
33.000000,-0.000000,-0.000377,0.003516
34.000000,-0.000000,0.000283,0.002637
35.000000,-0.000000,-0.000212,0.001978
36.000000,-0.000000,0.000159,0.001483
37.000000,-0.000000,-0.000119,0.001112
38.000000,-0.000000,0.000089,0.000834
39.000000,-0.000000,-0.000067,0.000626
40.000000,-0.000000,0.000050,0.000469
41.000000,-0.000000,-0.000038,0.000352
42.000000,-0.000000,0.000028,0.000264
43.000000,-0.000000,-0.000021,0.000198
44.000000,-0.000000,0.000016,0.000148
45.000000,-0.000000,-0.000012,0.000111
46.000000,-0.000000,0.000009,0.000084
47.000000,-0.000000,-0.000007,0.000063
48.000000,-0.000000,0.000005,0.000047
49.000000,-0.000000,-0.000004,0.000035
50.000000,-0.000000,0.000003,0.000026
